Test	Doses	Cultivar	Rep	Prod
NA	5	Cult1	1	5
NA	5	Cult1	2	5.75
NA	5	Cult1	3	6.75
NA	5	Cult1	4	9.75
NA	10	Cult1	1	5.5
NA	10	Cult1	2	8.25
NA	10	Cult1	3	8.5
NA	10	Cult1	4	8
NA	15	Cult1	1	9.75
NA	15	Cult1	2	10.75
NA	15	Cult1	3	11.75
NA	15	Cult1	4	12.5
NA	20	Cult1	1	11.5
NA	20	Cult1	2	12.25
NA	20	Cult1	3	16.25
NA	20	Cult1	4	15.25
NA	5	Cult2	1	8.75
NA	5	Cult2	2	11.75
NA	5	Cult2	3	10.25
NA	5	Cult2	4	12.75
NA	10	Cult2	1	9.25
NA	10	Cult2	2	11.5
NA	10	Cult2	3	13.75
NA	10	Cult2	4	15
NA	15	Cult2	1	14.5
NA	15	Cult2	2	12.75
NA	15	Cult2	3	15.75
NA	15	Cult2	4	18.5
NA	20	Cult2	1	18.5
NA	20	Cult2	2	18
NA	20	Cult2	3	21.25
NA	20	Cult2	4	22.25
Test1	NA	NA	1	20
Test1	NA	NA	2	22
Test1	NA	NA	3	21
Test1	NA	NA	4	21.5
