Testemunha	FatorA	FatorB	Rep	NumeroFrutos
Testemunha1	NA	NA	1	8
Testemunha1	NA	NA	2	10
Testemunha2	NA	NA	1	2
Testemunha2	NA	NA	2	4
NA	Potassio1	Nitrogenio1	1	2
NA	Potassio1	Nitrogenio2	1	5
NA	Potassio1	Nitrogenio3	1	4
NA	Potassio1	Nitrogenio1	2	2
NA	Potassio1	Nitrogenio2	2	5
NA	Potassio1	Nitrogenio3	2	5
NA	Potassio2	Nitrogenio1	1	4
NA	Potassio2	Nitrogenio2	1	3
NA	Potassio2	Nitrogenio3	1	5
NA	Potassio2	Nitrogenio1	2	4
NA	Potassio2	Nitrogenio2	2	4
NA	Potassio2	Nitrogenio3	2	4
NA	Potassio3	Nitrogenio1	1	5
NA	Potassio3	Nitrogenio2	1	5
NA	Potassio3	Nitrogenio3	1	7
NA	Potassio3	Nitrogenio1	2	7
NA	Potassio3	Nitrogenio2	2	5
NA	Potassio3	Nitrogenio3	2	7
NA	Potassio4	Nitrogenio1	1	3
NA	Potassio4	Nitrogenio2	1	2
NA	Potassio4	Nitrogenio3	1	3
NA	Potassio4	Nitrogenio1	2	5
NA	Potassio4	Nitrogenio2	2	6
NA	Potassio4	Nitrogenio3	2	4
