Test	Cultivar	Espacamento	Adubacao	Rep	Prod
NA	Cult1	Espac1	NPk	1	5
NA	Cult1	Espac1	NPk	2	5.75
NA	Cult1	Espac1	NPk	3	6.75
NA	Cult1	Espac1	NPk	4	9.75
NA	Cult2	Espac1	NPk	1	8.75
NA	Cult2	Espac1	NPk	2	11.75
NA	Cult2	Espac1	NPk	3	10.25
NA	Cult2	Espac1	NPk	4	12.75
NA	Cult1	Espac2	NPk	1	5.5
NA	Cult1	Espac2	NPk	2	8.25
NA	Cult1	Espac2	NPk	3	8.5
NA	Cult1	Espac2	NPk	4	8
NA	Cult2	Espac2	NPk	1	9.25
NA	Cult2	Espac2	NPk	2	11.5
NA	Cult2	Espac2	NPk	3	13.75
NA	Cult2	Espac2	NPk	4	15
NA	Cult1	Espac3	NPk	1	9.75
NA	Cult1	Espac3	NPk	2	10.75
NA	Cult1	Espac3	NPk	3	11.75
NA	Cult1	Espac3	NPk	4	12.5
NA	Cult2	Espac3	NPk	1	14.5
NA	Cult2	Espac3	NPk	2	12.75
NA	Cult2	Espac3	NPk	3	15.75
NA	Cult2	Espac3	NPk	4	8
NA	Cult1	Espac4	NPk	1	11.5
NA	Cult1	Espac4	NPk	2	12.25
NA	Cult1	Espac4	NPk	3	16.25
NA	Cult1	Espac4	NPk	4	15.25
NA	Cult2	Espac4	NPk	1	9.5
NA	Cult2	Espac4	NPk	2	12
NA	Cult2	Espac4	NPk	3	10
NA	Cult2	Espac4	NPk	4	7
NA	Cult1	Espac1	0NPk	1	9.75
NA	Cult1	Espac1	0NPk	2	10.75
NA	Cult1	Espac1	0NPk	3	11.75
NA	Cult1	Espac1	0NPk	4	12.5
NA	Cult2	Espac1	0NPk	1	14.5
NA	Cult2	Espac1	0NPk	2	12.75
NA	Cult2	Espac1	0NPk	3	15.75
NA	Cult2	Espac1	0NPk	4	8
NA	Cult1	Espac2	0NPk	1	11.5
NA	Cult1	Espac2	0NPk	2	12.25
NA	Cult1	Espac2	0NPk	3	16.25
NA	Cult1	Espac2	0NPk	4	15.25
NA	Cult2	Espac2	0NPk	1	9.5
NA	Cult2	Espac2	0NPk	2	12
NA	Cult2	Espac2	0NPk	3	10
NA	Cult2	Espac2	0NPk	4	7
NA	Cult1	Espac3	0NPk	1	5
NA	Cult1	Espac3	0NPk	2	5.75
NA	Cult1	Espac3	0NPk	3	6.75
NA	Cult1	Espac3	0NPk	4	9.75
NA	Cult2	Espac3	0NPk	1	8.75
NA	Cult2	Espac3	0NPk	2	11.75
NA	Cult2	Espac3	0NPk	3	10.25
NA	Cult2	Espac3	0NPk	4	12.75
NA	Cult1	Espac4	0NPk	1	5.5
NA	Cult1	Espac4	0NPk	2	8.25
NA	Cult1	Espac4	0NPk	3	8.5
NA	Cult1	Espac4	0NPk	4	8
NA	Cult2	Espac4	0NPk	1	9.25
NA	Cult2	Espac4	0NPk	2	11.5
NA	Cult2	Espac4	0NPk	3	13.75
NA	Cult2	Espac4	0NPk	4	15
Test1	NA	NA	NA	1	20
Test1	NA	NA	NA	2	22
Test1	NA	NA	NA	3	21
Test1	NA	NA	NA	4	21.5
Test2	NA	NA	NA	1	10
Test2	NA	NA	NA	2	15
Test2	NA	NA	NA	3	16
Test2	NA	NA	NA	4	18.5
Test3	NA	NA	NA	1	8
Test3	NA	NA	NA	2	8.2
Test3	NA	NA	NA	3	8.5
Test3	NA	NA	NA	4	7
