Test	Medicamento	Animal	Epoca	Carrapato
NA	d	1	1	530
NA	c	2	1	311
2	b	3	1	246
1	a	4	1	736
NA	f	5	1	114
NA	e	6	1	534
2	b	1	2	246
1	a	2	2	747
NA	f	3	2	113
NA	e	4	2	524
NA	d	5	2	515
NA	c	6	2	311
NA	f	1	3	119
NA	e	2	3	529
NA	d	3	3	519
NA	c	4	3	327
2	b	5	3	220
1	a	6	3	729
NA	c	1	4	346
2	b	2	4	214
1	a	3	4	749
NA	f	4	4	136
NA	e	5	4	511
NA	d	6	4	518
NA	e	1	5	549
NA	d	2	5	510
NA	c	3	5	344
2	b	4	5	219
1	a	5	5	717
NA	f	6	5	142
1	a	1	6	727
NA	f	2	6	150
NA	e	3	6	528
NA	d	4	6	538
NA	c	5	6	341
2	b	6	6	245
